contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM250815P00135000,2024-11-08 20:01:24+00:00,135.0,17.25,17.1,17.35,-0.45000076,-2.542377,2.0,22.0,0.19464916687011719,True,REGULAR,USD,2025-08-15
XOM250815P00140000,2024-10-11 19:50:01+00:00,140.0,19.55,20.0,21.2,0.0,0.0,2.0,31.0,0.19062088684082032,True,REGULAR,USD,2025-08-15
XOM250815P00145000,2024-10-07 18:47:03+00:00,145.0,22.5,24.3,25.5,0.0,0.0,8.0,19.0,0.19178054321289065,True,REGULAR,USD,2025-08-15
XOM250815P00155000,2024-10-08 14:25:52+00:00,155.0,33.15,0.0,0.0,0.0,0.0,,10.0,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
XOM250919P00065000,2024-11-01 19:07:00+00:00,65.0,0.26,0.05,0.43,0.0,0.0,1.0,5.0,0.3711000390625,False,REGULAR,USD,2025-09-19
XOM250919P00070000,2024-10-28 13:31:19+00:00,70.0,0.35,0.08,0.59,0.0,0.0,26.0,27.0,0.3530338134765625,False,REGULAR,USD,2025-09-19
XOM250919P00080000,2024-09-27 18:35:12+00:00,80.0,1.06,0.68,1.66,0.0,0.0,13.0,15.0,0.3580386462402344,False,REGULAR,USD,2025-09-19
XOM250919P00085000,2024-11-01 14:24:31+00:00,85.0,1.36,0.81,0.92,0.0,0.0,2.0,46.0,0.27075924560546877,False,REGULAR,USD,2025-09-19
XOM250919P00090000,2024-11-04 17:42:25+00:00,90.0,1.72,1.21,1.4,0.0,0.0,11.0,332.0,0.26367923828125,False,REGULAR,USD,2025-09-19
XOM250919P00095000,2024-11-05 20:50:44+00:00,95.0,2.38,1.68,2.03,0.0,0.0,8.0,814.0,0.2555616436767578,False,REGULAR,USD,2025-09-19
XOM250919P00100000,2024-11-07 17:38:55+00:00,100.0,2.73,2.5,2.89,0.0,0.0,15.0,1413.0,0.24829853271484376,False,REGULAR,USD,2025-09-19
XOM250919P00105000,2024-11-08 15:49:27+00:00,105.0,3.8,3.45,3.9,0.20000005,5.555557,9.0,659.0,0.23804472900390622,False,REGULAR,USD,2025-09-19
XOM250919P00110000,2024-11-07 19:37:00+00:00,110.0,5.3,4.8,5.15,0.3000002,6.000004,13.0,241.0,0.22705851074218747,False,REGULAR,USD,2025-09-19
XOM250919P00115000,2024-11-08 19:56:19+00:00,115.0,6.5,6.45,7.15,-1.6899996,-20.634916,22.0,328.0,0.2266312689208984,False,REGULAR,USD,2025-09-19
XOM250919P00120000,2024-11-08 14:45:37+00:00,120.0,9.2,8.5,9.1,0.3899994,4.4267807,6.0,456.0,0.2160112579345703,False,REGULAR,USD,2025-09-19
